Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",15.66,16.09,15.59,15.89,15.89,"957,500"
"Feb 13, 2020",15.44,15.81,15.42,15.61,15.61,"774,100"
"Feb 12, 2020",15.75,15.87,15.52,15.59,15.59,"979,000"
"Feb 11, 2020",15.73,16.10,15.60,15.63,15.63,"777,200"
"Feb 10, 2020",15.41,15.82,15.36,15.66,15.66,"3,487,400"
"Feb 07, 2020",15.70,15.76,15.39,15.45,15.45,"925,300"
"Feb 06, 2020",15.61,15.80,15.52,15.76,15.76,"658,200"
"Feb 05, 2020",15.78,15.83,15.55,15.55,15.55,"857,300"
"Feb 04, 2020",15.45,15.73,15.31,15.55,15.55,"1,381,200"
"Feb 03, 2020",15.03,15.22,14.88,15.16,15.16,"1,087,000"
"Jan 31, 2020",15.13,15.19,14.76,15.03,15.03,"1,649,900"
"Jan 30, 2020",15.16,15.27,14.96,15.22,15.22,"830,500"
"Jan 29, 2020",15.25,15.53,15.17,15.29,15.29,"1,307,000"
"Jan 28, 2020",15.27,15.63,15.18,15.22,15.22,"2,698,000"
"Jan 27, 2020",15.82,16.03,15.33,15.34,15.34,"1,993,300"
"Jan 24, 2020",16.40,16.52,16.01,16.21,16.21,"1,169,800"
"Jan 23, 2020",16.09,16.41,15.82,16.33,16.33,"2,456,800"
"Jan 22, 2020",16.31,16.42,16.12,16.18,16.18,"1,252,700"
"Jan 21, 2020",16.18,16.37,16.09,16.27,16.27,"1,339,300"
"Jan 17, 2020",16.76,16.76,16.19,16.27,16.27,"1,071,700"
"Jan 16, 2020",16.20,16.78,16.13,16.60,16.60,"2,783,100"
"Jan 15, 2020",16.20,16.54,16.01,16.08,16.08,"1,619,400"
"Jan 14, 2020",16.57,16.57,16.05,16.22,16.22,"1,468,400"
"Jan 13, 2020",16.86,16.94,16.57,16.60,16.60,"1,210,500"
"Jan 10, 2020",17.03,17.14,16.77,16.81,16.81,"1,002,800"
"Jan 09, 2020",16.93,17.03,16.72,16.98,16.98,"1,291,200"
"Jan 08, 2020",16.95,17.20,16.76,16.86,16.86,"2,803,300"
"Jan 07, 2020",17.38,17.38,16.86,16.97,16.97,"1,534,900"
"Jan 06, 2020",16.72,17.38,16.69,17.32,17.32,"1,183,900"
"Jan 03, 2020",16.98,17.09,16.86,16.94,16.94,"731,600"
"Jan 02, 2020",16.95,17.24,16.86,17.24,17.24,"1,470,200"
"Dec 31, 2019",16.70,16.97,16.57,16.78,16.78,"1,311,600"
"Dec 30, 2019",16.93,16.97,16.58,16.75,16.75,"1,378,800"
"Dec 27, 2019",17.27,17.27,16.79,17.02,17.02,"1,160,300"
"Dec 26, 2019",17.25,17.37,17.11,17.25,17.25,"908,900"
"Dec 24, 2019",17.32,17.35,17.18,17.24,17.24,"444,800"
"Dec 23, 2019",17.53,17.56,17.22,17.39,17.39,"1,212,000"
"Dec 20, 2019",17.62,17.67,17.35,17.53,17.53,"1,432,300"
"Dec 19, 2019",17.20,17.64,17.16,17.57,17.57,"1,090,800"
"Dec 18, 2019",16.78,17.30,16.72,17.21,17.21,"943,600"
"Dec 17, 2019",17.21,17.21,16.61,16.76,16.76,"963,300"
"Dec 16, 2019",16.98,17.22,16.93,17.12,17.12,"1,030,900"
"Dec 13, 2019",16.55,16.93,16.55,16.92,16.92,"891,400"
"Dec 12, 2019",17.00,17.00,16.46,16.54,16.54,"1,308,500"
"Dec 11, 2019",17.17,17.21,16.61,17.02,17.02,"1,219,000"
"Dec 10, 2019",17.17,17.36,17.11,17.20,17.20,"1,027,200"
"Dec 09, 2019",17.29,17.35,17.17,17.25,17.25,"1,802,500"
"Dec 06, 2019",17.44,17.65,17.31,17.34,17.34,"1,177,000"
"Dec 05, 2019",17.63,17.72,17.32,17.39,17.39,"1,377,700"
"Dec 04, 2019",18.17,18.22,17.57,17.60,17.60,"1,417,500"
