Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",324.74,325.98,322.85,324.95,324.95,"20,028,400"
"Feb 13, 2020",324.19,326.22,323.35,324.87,324.87,"23,686,900"
"Feb 12, 2020",321.47,327.22,321.47,327.20,327.20,"28,432,600"
"Feb 11, 2020",323.60,323.90,318.71,319.61,319.61,"23,580,800"
"Feb 10, 2020",314.18,321.55,313.85,321.55,321.55,"27,337,200"
"Feb 07, 2020",322.37,323.40,318.00,320.03,320.03,"29,421,000"
"Feb 07, 2020",0.77 Dividend
"Feb 06, 2020",322.57,325.22,320.26,325.21,324.44,"26,356,400"
"Feb 05, 2020",323.52,324.76,318.95,321.45,320.69,"29,706,700"
"Feb 04, 2020",315.31,319.64,313.63,318.85,318.10,"34,154,100"
"Feb 03, 2020",304.30,313.49,302.22,308.66,307.93,"43,496,400"
"Jan 31, 2020",320.93,322.68,308.29,309.51,308.78,"49,897,100"
"Jan 30, 2020",320.54,324.09,318.75,323.87,323.10,"31,685,800"
"Jan 29, 2020",324.45,327.85,321.38,324.34,323.57,"54,057,300"
"Jan 28, 2020",312.60,318.40,312.19,317.69,316.94,"40,558,500"
"Jan 27, 2020",310.06,311.77,304.88,308.95,308.22,"40,485,000"
"Jan 24, 2020",320.25,323.33,317.52,318.31,317.56,"36,634,400"
"Jan 23, 2020",317.92,319.56,315.65,319.23,318.47,"26,118,000"
"Jan 22, 2020",318.58,319.99,317.31,317.70,316.95,"25,458,100"
"Jan 21, 2020",317.19,319.02,316.00,316.57,315.82,"27,710,800"
"Jan 17, 2020",316.27,318.74,315.00,318.73,317.98,"34,454,100"
"Jan 16, 2020",313.59,315.70,312.09,315.24,314.49,"27,207,300"
"Jan 15, 2020",311.85,315.50,309.55,311.34,310.60,"30,480,900"
"Jan 14, 2020",316.70,317.57,312.17,312.68,311.94,"40,488,600"
"Jan 13, 2020",311.64,317.07,311.15,316.96,316.21,"30,383,000"
"Jan 10, 2020",310.60,312.67,308.25,310.33,309.60,"35,161,200"
"Jan 09, 2020",307.24,310.43,306.20,309.63,308.90,"42,527,100"
"Jan 08, 2020",297.16,304.44,297.16,303.19,302.47,"33,019,800"
"Jan 07, 2020",299.84,300.90,297.48,298.39,297.68,"27,218,000"
"Jan 06, 2020",293.79,299.96,292.75,299.80,299.09,"29,596,800"
"Jan 03, 2020",297.15,300.58,296.50,297.43,296.73,"36,580,700"
