Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",7.16,7.17,6.85,7.14,7.14,"371,600"
"Feb 13, 2020",6.92,7.15,6.85,7.10,7.10,"276,600"
"Feb 12, 2020",7.51,7.65,6.90,7.02,7.02,"357,400"
"Feb 11, 2020",7.71,7.85,7.54,7.54,7.54,"208,600"
"Feb 10, 2020",6.97,7.80,6.91,7.71,7.71,"792,800"
"Feb 07, 2020",7.07,7.17,6.67,7.09,7.09,"499,600"
"Feb 06, 2020",7.01,7.20,6.98,7.11,7.11,"589,800"
"Feb 05, 2020",6.92,7.26,6.62,7.01,7.01,"2,508,100"
"Feb 04, 2020",7.05,7.32,7.04,7.10,7.10,"222,800"
"Feb 03, 2020",6.99,7.47,6.96,7.07,7.07,"672,000"
"Jan 31, 2020",7.17,7.44,6.94,7.28,7.28,"229,000"
"Jan 30, 2020",7.28,7.49,7.14,7.29,7.29,"269,800"
"Jan 29, 2020",6.66,7.51,6.56,7.04,7.04,"564,300"
"Jan 28, 2020",6.42,6.71,6.35,6.55,6.55,"292,200"
"Jan 27, 2020",6.67,6.74,6.32,6.42,6.42,"282,200"
"Jan 24, 2020",7.49,7.59,6.75,6.89,6.89,"922,400"
"Jan 23, 2020",7.81,8.04,7.44,7.53,7.53,"1,427,600"
"Jan 22, 2020",8.33,8.40,7.91,7.97,7.97,"615,000"
"Jan 21, 2020",7.56,8.39,7.50,8.25,8.25,"800,100"
"Jan 17, 2020",7.60,8.49,7.46,7.63,7.63,"821,700"
"Jan 16, 2020",7.13,7.75,7.08,7.67,7.67,"636,800"
"Jan 15, 2020",7.05,7.30,7.05,7.07,7.07,"423,300"
"Jan 14, 2020",6.99,7.30,6.95,7.07,7.07,"423,300"
"Jan 13, 2020",6.98,7.10,6.66,6.97,6.97,"2,013,400"
"Jan 10, 2020",7.00,7.18,6.85,6.90,6.90,"601,900"
"Jan 09, 2020",6.84,7.20,6.72,7.00,7.00,"476,000"
"Jan 08, 2020",6.71,7.01,6.71,6.80,6.80,"235,200"
"Jan 07, 2020",6.82,7.15,6.61,6.75,6.75,"1,410,700"
"Jan 06, 2020",7.01,7.01,6.64,6.91,6.91,"326,400"
"Jan 03, 2020",7.30,7.37,7.15,7.16,7.16,"274,000"
"Jan 02, 2020",7.76,7.80,7.26,7.41,7.41,"238,300"
"Dec 31, 2019",7.35,8.00,7.24,7.55,7.55,"516,000"
"Dec 30, 2019",7.28,7.40,7.01,7.24,7.24,"393,100"
"Dec 27, 2019",7.31,7.33,6.92,7.28,7.28,"383,800"
"Dec 26, 2019",7.15,7.31,7.01,7.25,7.25,"349,100"
"Dec 24, 2019",6.60,7.18,6.41,6.98,6.98,"436,500"
"Dec 23, 2019",6.03,6.68,6.00,6.60,6.60,"684,100"
"Dec 20, 2019",6.25,6.26,5.80,6.01,6.01,"2,831,700"
"Dec 19, 2019",6.38,6.38,6.19,6.29,6.29,"439,700"
"Dec 18, 2019",6.64,6.64,6.22,6.32,6.32,"617,400"
"Dec 17, 2019",6.75,7.00,6.55,6.64,6.64,"2,040,300"
