Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",8.27,8.27,8.08,8.10,8.10,"46,359,700"
"Feb 13, 2020",8.21,8.36,8.21,8.25,8.25,"67,648,800"
"Feb 12, 2020",8.14,8.33,8.13,8.24,8.24,"111,536,800"
"Feb 11, 2020",8.10,8.15,8.08,8.10,8.10,"80,164,500"
"Feb 10, 2020",8.15,8.15,8.05,8.06,8.06,"71,834,900"
"Feb 07, 2020",8.21,8.21,8.02,8.11,8.11,"98,256,500"
"Feb 06, 2020",8.37,8.38,8.25,8.25,8.25,"68,823,400"
"Feb 05, 2020",8.41,8.48,8.26,8.31,8.31,"145,792,500"
"Feb 04, 2020",9.08,9.24,9.07,9.18,9.18,"86,196,400"
"Feb 03, 2020",8.85,9.14,8.85,8.98,8.98,"71,432,700"
"Jan 31, 2020",8.78,8.84,8.74,8.82,8.82,"59,813,700"
"Jan 30, 2020",8.81,8.84,8.73,8.84,8.84,"42,827,800"
"Jan 29, 2020",8.85,8.96,8.84,8.86,8.86,"59,057,400"
"Jan 29, 2020",0.15 Dividend
"Jan 28, 2020",8.94,9.00,8.86,8.97,8.82,"85,163,400"
"Jan 27, 2020",8.88,8.96,8.78,8.89,8.74,"60,769,300"
"Jan 24, 2020",9.11,9.12,8.96,9.00,8.85,"68,100,900"
"Jan 23, 2020",9.14,9.16,8.93,9.14,8.99,"75,848,700"
"Jan 22, 2020",9.22,9.25,9.15,9.16,9.01,"39,914,800"
"Jan 21, 2020",9.15,9.22,9.10,9.21,9.06,"49,556,400"
"Jan 17, 2020",9.19,9.23,9.13,9.16,9.01,"41,644,900"
"Jan 16, 2020",9.23,9.28,9.15,9.17,9.02,"44,310,400"
"Jan 15, 2020",9.27,9.30,9.18,9.19,9.04,"55,923,900"
"Jan 14, 2020",9.22,9.33,9.21,9.29,9.13,"42,935,600"
"Jan 13, 2020",9.25,9.26,9.11,9.24,9.09,"48,553,700"
"Jan 10, 2020",9.27,9.36,9.25,9.25,9.10,"39,796,300"
"Jan 09, 2020",9.30,9.31,9.18,9.26,9.11,"51,817,400"
"Jan 08, 2020",9.23,9.30,9.17,9.25,9.10,"45,994,900"
"Jan 07, 2020",9.20,9.25,9.12,9.25,9.10,"44,984,100"
