Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",214.00,214.93,212.65,214.18,214.18,"10,741,700"
"Feb 13, 2020",209.52,214.33,209.18,213.14,213.14,"15,396,600"
"Feb 12, 2020",207.85,211.22,207.40,210.76,210.76,"13,813,700"
"Feb 11, 2020",210.19,210.86,206.51,207.19,207.19,"25,030,800"
"Feb 10, 2020",211.52,213.80,210.66,213.06,213.06,"11,856,400"
"Feb 07, 2020",210.30,212.82,209.93,212.33,212.33,"12,242,500"
"Feb 06, 2020",210.47,211.19,209.34,210.85,210.85,"10,567,500"
"Feb 05, 2020",212.51,212.73,208.71,210.11,210.11,"12,538,200"
"Feb 04, 2020",206.62,210.60,205.20,209.83,209.83,"19,628,900"
"Feb 03, 2020",203.44,205.14,202.50,204.19,204.19,"15,510,500"
"Jan 31, 2020",208.43,208.69,201.06,201.91,201.91,"31,359,900"
"Jan 30, 2020",206.53,211.43,204.75,209.53,209.53,"48,775,500"
"Jan 29, 2020",221.44,224.20,218.45,223.23,223.23,"33,181,300"
"Jan 28, 2020",216.14,218.74,213.52,217.79,217.79,"13,413,800"
"Jan 27, 2020",213.10,216.06,212.50,214.87,214.87,"13,810,700"
"Jan 24, 2020",220.80,221.78,216.11,217.94,217.94,"11,905,800"
"Jan 23, 2020",220.75,221.49,219.27,219.76,219.76,"11,195,000"
"Jan 22, 2020",222.31,222.75,221.28,221.32,221.32,"12,212,800"
"Jan 21, 2020",222.16,222.37,219.12,221.44,221.44,"14,275,800"
"Jan 17, 2020",222.03,222.29,220.53,222.14,222.14,"15,905,900"
"Jan 16, 2020",222.57,222.63,220.39,221.77,221.77,"10,015,300"
"Jan 15, 2020",220.61,221.68,220.14,221.15,221.15,"10,036,500"
"Jan 14, 2020",221.61,222.38,218.63,219.06,219.06,"13,288,900"
"Jan 13, 2020",219.60,221.97,219.21,221.91,221.91,"14,463,400"
"Jan 10, 2020",219.20,219.88,217.42,218.06,218.06,"12,119,400"
"Jan 09, 2020",217.54,218.38,216.28,218.30,218.30,"12,642,800"
"Jan 08, 2020",213.00,216.24,212.61,215.22,215.22,"13,475,000"
"Jan 07, 2020",212.82,214.58,211.75,213.06,213.06,"14,912,400"
"Jan 06, 2020",206.70,212.78,206.52,212.60,212.60,"17,058,900"
"Jan 03, 2020",207.21,210.40,206.95,208.67,208.67,"11,188,400"
"Jan 02, 2020",206.75,209.79,206.27,209.78,209.78,"12,077,100"
"Dec 31, 2019",204.00,205.56,203.60,205.25,205.25,"8,953,500"
"Dec 30, 2019",207.86,207.90,203.90,204.41,204.41,"10,524,300"
"Dec 27, 2019",208.67,208.93,206.59,208.10,208.10,"10,284,200"
"Dec 26, 2019",205.57,207.82,205.31,207.79,207.79,"9,350,700"
"Dec 24, 2019",206.30,206.79,205.00,205.12,205.12,"6,046,300"
"Dec 23, 2019",206.70,208.59,205.68,206.18,206.18,"13,348,900"
"Dec 20, 2019",207.48,207.71,203.43,206.30,206.30,"27,306,900"
"Dec 19, 2019",202.78,206.30,202.51,206.06,206.06,"16,514,600"
"Dec 18, 2019",200.09,204.30,200.09,202.50,202.50,"23,274,400"
"Dec 17, 2019",198.84,199.00,196.13,198.39,198.39,"10,175,700"
"Dec 16, 2019",195.27,199.12,194.81,197.92,197.92,"14,911,500"
"Dec 13, 2019",196.40,196.80,193.17,194.11,194.11,"18,798,000"
"Dec 12, 2019",202.35,203.66,194.10,196.75,196.75,"23,734,800"
"Dec 11, 2019",200.28,202.63,200.28,202.26,202.26,"8,036,800"
"Dec 10, 2019",201.66,202.05,200.15,200.87,200.87,"9,475,700"
"Dec 09, 2019",200.65,203.14,200.21,201.34,201.34,"11,954,800"
"Dec 06, 2019",200.50,201.57,200.06,201.05,201.05,"12,270,600"
