Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",8.64,8.76,8.63,8.69,8.69,"25,435,800"
"Feb 13, 2020",8.51,8.77,8.41,8.67,8.67,"46,004,900"
"Feb 12, 2020",8.45,8.78,8.39,8.60,8.60,"73,055,100"
"Feb 11, 2020",8.35,8.53,8.11,8.52,8.52,"227,290,500"
"Feb 10, 2020",4.92,4.95,4.75,4.80,4.80,"23,102,600"
"Feb 07, 2020",4.73,4.98,4.69,4.93,4.93,"16,805,700"
"Feb 06, 2020",4.69,4.72,4.60,4.71,4.71,"10,764,300"
"Feb 05, 2020",4.54,4.71,4.51,4.62,4.62,"13,996,500"
"Feb 04, 2020",4.33,4.56,4.30,4.54,4.54,"14,855,600"
"Feb 03, 2020",4.39,4.42,4.26,4.28,4.28,"10,323,900"
"Jan 31, 2020",4.45,4.50,4.31,4.37,4.37,"11,579,700"
"Jan 30, 2020",4.50,4.51,4.37,4.46,4.46,"9,318,600"
"Jan 29, 2020",4.67,4.68,4.46,4.56,4.56,"15,998,700"
"Jan 28, 2020",4.66,4.71,4.59,4.65,4.65,"15,451,900"
"Jan 27, 2020",4.83,4.85,4.59,4.63,4.63,"16,601,300"
"Jan 24, 2020",5.06,5.06,4.82,4.83,4.83,"18,846,700"
"Jan 23, 2020",5.01,5.09,4.97,5.04,5.04,"9,754,800"
"Jan 22, 2020",5.04,5.13,4.96,5.02,5.02,"12,563,000"
"Jan 21, 2020",4.84,5.24,4.72,4.99,4.99,"36,864,700"
"Jan 17, 2020",4.92,4.94,4.75,4.82,4.82,"27,158,400"
"Jan 16, 2020",4.88,4.98,4.84,4.92,4.92,"13,504,600"
"Jan 15, 2020",4.87,4.99,4.83,4.86,4.86,"14,274,500"
"Jan 14, 2020",4.88,4.88,4.78,4.86,4.86,"12,791,400"
"Jan 13, 2020",4.90,4.91,4.76,4.89,4.89,"15,176,200"
"Jan 10, 2020",5.03,5.03,4.86,4.88,4.88,"17,646,400"
"Jan 09, 2020",5.18,5.20,4.94,5.00,5.00,"22,593,400"
"Jan 08, 2020",5.11,5.17,5.08,5.15,5.15,"12,549,600"
"Jan 07, 2020",5.21,5.24,5.09,5.14,5.14,"16,311,300"
"Jan 06, 2020",5.16,5.24,5.16,5.23,5.23,"10,543,700"
"Jan 03, 2020",5.18,5.22,5.15,5.18,5.18,"9,405,600"
"Jan 02, 2020",5.25,5.27,5.19,5.22,5.22,"8,496,100"
"Dec 31, 2019",5.20,5.25,5.19,5.21,5.21,"8,974,600"
"Dec 30, 2019",5.21,5.25,5.20,5.22,5.22,"6,231,400"
"Dec 27, 2019",5.19,5.25,5.18,5.20,5.20,"4,732,900"
"Dec 26, 2019",5.27,5.28,5.18,5.19,5.19,"6,443,700"
"Dec 24, 2019",5.22,5.33,5.22,5.26,5.26,"5,520,900"
"Dec 23, 2019",5.41,5.42,5.22,5.23,5.23,"12,104,600"
"Dec 20, 2019",5.32,5.41,5.26,5.39,5.39,"19,248,900"
"Dec 19, 2019",5.26,5.32,5.23,5.29,5.29,"14,875,000"
"Dec 18, 2019",5.20,5.31,5.18,5.25,5.25,"17,558,500"
"Dec 17, 2019",5.22,5.24,5.17,5.20,5.20,"7,242,000"
"Dec 16, 2019",5.20,5.25,5.15,5.19,5.19,"11,984,800"
"Dec 13, 2019",5.19,5.25,5.16,5.21,5.21,"14,355,100"
"Dec 12, 2019",5.28,5.29,5.16,5.19,5.19,"12,262,000"
"Dec 11, 2019",5.30,5.35,5.25,5.25,5.25,"9,108,100"
"Dec 10, 2019",5.40,5.45,5.30,5.34,5.34,"9,150,300"
"Dec 09, 2019",5.50,5.52,5.30,5.40,5.40,"25,195,100"
"Dec 06, 2019",5.47,5.67,5.42,5.53,5.53,"27,573,000"
"Dec 05, 2019",5.68,5.68,5.39,5.41,5.41,"16,237,300"
"Dec 04, 2019",5.73,5.74,5.61,5.65,5.65,"9,544,300"
"Dec 03, 2019",5.70,5.77,5.59,5.69,5.69,"18,472,400"
"Dec 02, 2019",5.88,5.90,5.58,5.74,5.74,"22,900,100"
"Nov 29, 2019",5.91,5.95,5.88,5.92,5.92,"4,664,500"
"Nov 27, 2019",5.99,6.00,5.89,5.91,5.91,"9,304,100"
"Nov 26, 2019",5.94,6.09,5.88,5.96,5.96,"13,917,000"
"Nov 25, 2019",5.73,5.97,5.66,5.94,5.94,"29,815,300"
"Nov 22, 2019",5.63,5.76,5.61,5.74,5.74,"11,380,900"
"Nov 21, 2019",5.66,5.76,5.57,5.63,5.63,"10,078,000"
"Nov 20, 2019",5.74,5.79,5.55,5.63,5.63,"10,510,600"
"Nov 19, 2019",5.90,5.90,5.72,5.74,5.74,"8,259,400"
"Nov 18, 2019",5.82,5.90,5.76,5.86,5.86,"17,799,900"
"Nov 15, 2019",5.87,5.97,5.81,5.83,5.83,"18,639,900"
"Nov 14, 2019",5.99,6.01,5.82,5.87,5.87,"10,669,800"
"Nov 13, 2019",5.83,6.08,5.78,6.06,6.06,"16,648,600"
"Nov 12, 2019",5.92,5.95,5.77,5.87,5.87,"15,201,200"
"Nov 11, 2019",6.06,6.12,5.84,5.91,5.91,"19,909,200"
"Nov 08, 2019",6.17,6.17,6.06,6.11,6.11,"10,131,800"
"Nov 07, 2019",6.18,6.31,6.10,6.19,6.19,"27,456,400"
"Nov 06, 2019",6.15,6.16,6.00,6.15,6.15,"17,081,200"
"Nov 05, 2019",6.15,6.18,6.05,6.14,6.14,"13,007,700"
"Nov 04, 2019",6.28,6.32,6.10,6.15,6.15,"13,425,100"
"Nov 01, 2019",6.22,6.33,6.19,6.30,6.30,"12,162,300"
"Oct 31, 2019",6.25,6.25,6.09,6.21,6.21,"10,221,000"
