Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",87.29,88.97,86.14,88.73,88.73,"306,800"
"Feb 13, 2020",86.57,87.38,85.46,85.79,85.79,"245,400"
"Feb 12, 2020",84.60,87.46,83.65,87.27,87.27,"259,900"
"Feb 11, 2020",83.60,84.12,82.19,83.80,83.80,"224,500"
"Feb 10, 2020",80.78,83.27,79.96,83.03,83.03,"312,800"
"Feb 07, 2020",81.43,81.94,80.15,81.30,81.30,"165,700"
"Feb 06, 2020",81.87,83.53,80.64,81.65,81.65,"242,100"
"Feb 05, 2020",77.58,81.70,77.05,81.47,81.47,"512,000"
"Feb 04, 2020",74.01,77.38,73.74,76.27,76.27,"346,300"
"Feb 03, 2020",75.00,75.67,73.14,73.20,73.20,"441,500"
"Jan 31, 2020",78.15,78.90,73.66,74.49,74.49,"453,700"
"Jan 30, 2020",78.73,80.35,76.85,79.27,79.27,"277,300"
"Jan 29, 2020",81.45,82.12,79.08,79.38,79.38,"325,700"
"Jan 28, 2020",82.38,84.10,81.36,81.43,81.43,"239,700"
"Jan 27, 2020",80.56,82.00,80.02,81.70,81.70,"449,000"
"Jan 24, 2020",85.79,86.53,82.32,82.69,82.69,"389,200"
"Jan 23, 2020",86.14,87.27,84.80,85.43,85.43,"449,500"
"Jan 22, 2020",88.60,88.88,86.00,86.77,86.77,"589,800"
"Jan 21, 2020",90.55,91.02,88.14,88.49,88.49,"683,900"
"Jan 17, 2020",92.44,92.71,89.32,90.83,90.83,"419,200"
"Jan 16, 2020",86.50,92.48,86.25,92.47,92.47,"542,700"
"Jan 15, 2020",85.09,86.39,83.50,86.24,86.24,"316,600"
"Jan 14, 2020",83.61,85.71,82.12,85.24,85.24,"252,100"
"Jan 13, 2020",81.69,83.27,80.74,82.84,82.84,"207,800"
"Jan 10, 2020",82.33,82.33,80.07,81.87,81.87,"277,600"
"Jan 09, 2020",82.77,83.20,81.12,82.14,82.14,"226,000"
"Jan 08, 2020",81.35,83.37,80.85,82.66,82.66,"330,300"
"Jan 07, 2020",81.10,82.13,79.80,81.70,81.70,"188,400"
"Jan 06, 2020",78.51,81.49,77.27,81.26,81.26,"486,600"
