Date,Open,High,Low,Close*,Adj Close**,Volume

"Feb 14, 2020",787.22,812.97,785.50,800.03,800.03,"15,693,700"
"Feb 13, 2020",741.84,818.00,735.00,804.00,804.00,"26,289,300"
"Feb 12, 2020",777.87,789.75,763.37,767.29,767.29,"12,022,500"
"Feb 11, 2020",768.79,783.51,758.00,774.38,774.38,"11,697,500"
"Feb 10, 2020",800.00,819.99,752.40,771.28,771.28,"24,689,200"
"Feb 07, 2020",730.55,769.75,730.00,748.07,748.07,"17,063,500"
"Feb 06, 2020",699.92,795.83,687.00,748.96,748.96,"39,880,800"
"Feb 05, 2020",823.26,845.98,704.11,734.70,734.70,"48,423,800"
"Feb 04, 2020",882.96,968.99,833.88,887.06,887.06,"60,938,800"
"Feb 03, 2020",673.69,786.14,673.52,780.00,780.00,"47,233,500"
"Jan 31, 2020",640.00,653.00,632.52,650.57,650.57,"15,719,300"
"Jan 30, 2020",632.42,650.88,618.00,640.81,640.81,"29,005,700"
"Jan 29, 2020",575.69,589.80,567.43,580.99,580.99,"17,801,500"
"Jan 28, 2020",568.49,576.81,558.08,566.90,566.90,"11,788,500"
"Jan 27, 2020",541.99,564.44,539.28,558.02,558.02,"13,608,100"
"Jan 24, 2020",570.63,573.86,554.26,564.82,564.82,"14,353,600"
"Jan 23, 2020",564.25,582.00,555.60,572.20,572.20,"19,651,000"
"Jan 22, 2020",571.89,594.50,559.10,569.56,569.56,"31,369,000"
"Jan 21, 2020",530.25,548.58,528.41,547.20,547.20,"17,803,500"
"Jan 17, 2020",507.61,515.67,503.16,510.50,510.50,"13,629,100"
"Jan 16, 2020",493.75,514.46,492.17,513.49,513.49,"21,736,700"
"Jan 15, 2020",529.76,537.84,516.79,518.50,518.50,"17,368,800"
"Jan 14, 2020",544.26,547.41,524.90,537.92,537.92,"28,996,200"
"Jan 13, 2020",493.50,525.63,492.00,524.86,524.86,"26,517,600"
"Jan 10, 2020",481.79,484.94,473.70,478.15,478.15,"12,959,500"
"Jan 09, 2020",497.10,498.80,472.87,481.34,481.34,"28,440,400"
"Jan 08, 2020",473.70,498.49,468.23,492.14,492.14,"31,144,300"
"Jan 07, 2020",461.40,471.63,453.36,469.06,469.06,"17,882,100"
"Jan 06, 2020",440.47,451.56,440.00,451.54,451.54,"10,133,000"
"Jan 03, 2020",440.50,454.00,436.92,443.01,443.01,"17,778,500"
"Jan 02, 2020",424.50,430.70,421.71,430.26,430.26,"9,532,100"
"Dec 31, 2019",405.00,421.29,402.08,418.33,418.33,"10,285,700"
"Dec 30, 2019",428.79,429.00,409.26,414.70,414.70,"12,586,400"
"Dec 27, 2019",435.00,435.31,426.11,430.38,430.38,"9,945,700"
"Dec 26, 2019",427.91,433.48,426.35,430.94,430.94,"10,633,900"
"Dec 24, 2019",418.36,425.47,412.69,425.25,425.25,"8,054,700"
"Dec 23, 2019",411.78,422.01,410.00,419.22,419.22,"13,319,600"
"Dec 20, 2019",410.29,413.00,400.19,405.59,405.59,"14,752,700"
"Dec 19, 2019",397.32,406.85,396.50,404.04,404.04,"18,107,100"
"Dec 18, 2019",380.63,395.22,380.58,393.15,393.15,"14,121,000"
"Dec 17, 2019",378.99,385.50,375.90,378.99,378.99,"8,496,800"
"Dec 16, 2019",362.55,383.61,362.50,381.50,381.50,"18,174,200"
"Dec 13, 2019",361.05,365.21,354.64,358.39,358.39,"6,570,900"
"Dec 12, 2019",354.92,362.74,353.23,359.68,359.68,"7,763,900"
"Dec 11, 2019",351.88,357.19,351.09,352.70,352.70,"6,897,800"
"Dec 10, 2019",339.96,350.73,339.31,348.84,348.84,"8,828,300"
"Dec 09, 2019",336.59,344.45,335.08,339.53,339.53,"9,023,100"
"Dec 06, 2019",335.00,338.86,334.77,335.89,335.89,"7,612,400"
"Dec 05, 2019",332.83,334.42,327.25,330.37,330.37,"3,724,600"
"Dec 04, 2019",337.75,337.86,332.85,333.03,333.03,"5,533,000"
"Dec 03, 2019",332.62,337.91,332.19,336.20,336.20,"6,573,700"
"Dec 02, 2019",329.40,336.38,328.69,334.87,334.87,"6,074,500"
"Nov 29, 2019",331.11,331.26,327.50,329.94,329.94,"2,465,600"
"Nov 27, 2019",331.12,333.93,328.57,331.29,331.29,"5,555,600"
"Nov 26, 2019",335.27,335.50,327.10,328.92,328.92,"7,947,400"
"Nov 25, 2019",344.32,344.57,334.46,336.34,336.34,"12,339,500"
"Nov 22, 2019",340.16,341.00,330.00,333.04,333.04,"16,870,600"
"Nov 21, 2019",354.51,360.84,354.00,354.83,354.83,"6,110,000"
"Nov 20, 2019",360.00,361.20,349.57,352.22,352.22,"6,725,100"
"Nov 19, 2019",351.75,359.99,347.80,359.52,359.52,"7,724,800"
"Nov 18, 2019",352.92,353.15,346.10,349.99,349.99,"4,400,400"
"Nov 15, 2019",350.64,352.80,348.36,352.17,352.17,"4,809,000"
"Nov 14, 2019",346.11,353.84,342.91,349.35,349.35,"6,464,900"
"Nov 13, 2019",355.00,356.33,345.18,346.11,346.11,"8,420,100"
"Nov 12, 2019",346.90,350.37,344.04,349.93,349.93,"7,359,400"
"Nov 11, 2019",343.95,349.19,342.00,345.09,345.09,"9,986,700"
"Nov 08, 2019",334.50,337.46,332.50,337.14,337.14,"6,069,200"
"Nov 07, 2019",329.14,341.50,328.02,335.54,335.54,"14,467,300"
"Nov 06, 2019",318.00,326.72,314.50,326.58,326.58,"7,940,900"
"Nov 05, 2019",319.62,323.51,316.12,317.22,317.22,"6,943,400"
"Nov 04, 2019",314.80,321.94,309.26,317.47,317.47,"8,787,000"
"Nov 01, 2019",316.32,316.48,309.80,313.31,313.31,"6,383,900"
"Oct 31, 2019",313.10,319.00,313.00,314.92,314.92,"5,067,000"
"Oct 30, 2019",313.00,318.79,309.97,315.01,315.01,"9,641,800"
"Oct 29, 2019",319.99,324.30,314.75,316.22,316.22,"12,684,300"
"Oct 28, 2019",327.54,340.84,322.60,327.71,327.71,"18,870,300"
"Oct 25, 2019",297.72,330.00,296.11,328.13,328.13,"30,006,100"
"Oct 24, 2019",298.37,304.93,289.20,299.68,299.68,"29,720,900"
"Oct 23, 2019",254.50,256.14,251.35,254.68,254.68,"5,261,100"
"Oct 22, 2019",254.32,258.33,250.85,255.58,255.58,"4,600,800"
"Oct 21, 2019",258.33,259.50,250.18,253.50,253.50,"5,020,300"
"Oct 18, 2019",260.70,262.80,255.10,256.95,256.95,"5,749,800"
"Oct 17, 2019",262.50,264.78,260.17,261.97,261.97,"4,769,300"
"Oct 16, 2019",257.39,262.10,256.92,259.75,259.75,"6,684,100"
"Oct 15, 2019",257.70,260.00,254.12,257.89,257.89,"6,432,800"
"Oct 14, 2019",247.90,258.55,247.13,256.96,256.96,"10,205,000"
"Oct 11, 2019",247.15,251.08,246.81,247.89,247.89,"8,475,400"
"Oct 10, 2019",245.28,249.28,241.58,244.74,244.74,"6,283,300"
"Oct 09, 2019",241.32,247.30,240.65,244.53,244.53,"6,894,400"
"Oct 08, 2019",235.87,243.94,234.50,240.05,240.05,"8,678,200"
"Oct 07, 2019",229.80,238.56,228.55,237.72,237.72,"8,064,200"
"Oct 04, 2019",231.61,234.78,228.07,231.43,231.43,"7,995,000"
"Oct 03, 2019",231.86,234.48,224.28,233.03,233.03,"15,084,500"
"Oct 02, 2019",243.29,244.65,239.43,243.13,243.13,"5,631,400"
